2021-07-19-09,73,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,32224166,2019.11.30,발라드_ 인디음악,219,81627
2021-07-19-09,74,Bad Habits,Ed Sheeran,Bad Habits,33623210,2021.06.25,POP,151,23038
2021-07-19-09,75,Memories,Maroon 5,JORDI (Deluxe),32055419,2019.09.20,POP,284,171068
2021-07-19-09,76,Way Back Home (2021),런치,Way Back Home (2021),33643253,2021.07.04,일렉트로니카,89,13135
2021-07-19-09,77,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,31853557,2019.06.09,R&B/Soul_ 인디음악,1058,240947
2021-07-19-09,78,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP,32559781,2020.04.27,댄스,11002,180520
2021-07-19-09,79,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,32508053,2020.04.03,성인가요,4835,132133
2021-07-19-09,80,체념,MSG워너비(정상동기),MSG워너비 TOP 8 경연곡,33510308,2021.05.22,발라드,204,21831
2021-07-19-09,81,사실 나는 (Feat.전건호),경서예지,사실 나는,32525311,2020.04.12,발라드,248,77580
2021-07-19-09,82,한여름밤의 꿀 : 다시 여름,San E,한여름밤의 꿀 : 다시 여름 (TEN PROJECT Part.3),33646995,2021.07.05,랩/힙합,117,13908
2021-07-19-09,83,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,32156286,2019.11.07,발라드,1543,183430
2021-07-19-09,84,추적이는 여름 비가 되어,장범준,장범준 싱글,33571535,2021.06.11,발라드,187,23370
2021-07-19-09,85,그냥 안아달란 말야,다비치,그냥 안아달란 말야,33405149,2021.04.12,발라드,181,39289
2021-07-19-09,86,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),33229299,2021.01.24,발라드,183,70885
2021-07-19-09,87,How You Like That,BLACKPINK,How You Like That,32720013,2020.06.26,댄스,4188,181145
2021-07-19-09,88,Dance Monkey,Tones And I,The Kids Are Coming,31979846,2019.08.09,POP,426,160247
2021-07-19-09,89,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,32998018,2020.10.19,발라드,767,106088
2021-07-19-09,90,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈)),33347390,2021.03.14,발라드_ 인디음악,94,48607
2021-07-19-09,91,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),33439096,2021.04.27,발라드,106,28333
2021-07-19-09,92,잡아줄게 (Carabiner),ASH ISLAND,잡아줄게 (Carabiner),33666177,2021.07.09,랩/힙합,172,18525
2021-07-19-09,93,살다가,SG 워너비,살다가,711626,2005.03.23,발라드,167,69021
2021-07-19-09,94,Paris In The Rain,Lauv,I met you when I was 18. (the playlist),31341518,2018.10.08,POP,674,257401
2021-07-19-09,95,마음을 드려요,아이유,사랑의 불시착 OST Part 11,32378104,2020.02.15,발라드_ 국내드라마,1829,211390
2021-07-19-09,96,오늘따라 더 미운 그대가,전상근,오늘따라 더 미운 그대가,33572275,2021.06.13,발라드,46,16749
2021-07-19-09,97,Don't Start Now,Dua Lipa,Future Nostalgia,32137576,2019.11.01,POP,361,142356
2021-07-19-09,98,너를 만나,폴킴,너를 만나,31388145,2018.10.29,발라드,970,291031
2021-07-19-09,99,Love poem,아이유,Love poem,32143487,2019.11.01,록/메탈,3039,306583
2021-07-19-09,100,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),32871975,2020.08.23,발라드,515,107005
2021-07-19-10,1,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,33625988,2021.06.26,발라드,1708,113617
2021-07-19-10,2,Next Level,aespa,Next Level,33487342,2021.05.17,댄스,5844,167693
2021-07-19-10,3,신호등,이무진,신호등,33480898,2021.05.14,록/메탈,852,118886
2021-07-19-10,4,Butter,방탄소년단,Butter,33507137,2021.05.21,댄스,8174,225578
2021-07-19-10,5,Permission to Dance,방탄소년단,Butter / Permission to Dance,33666269,2021.07.09,댄스,3694,123563
2021-07-19-10,6,Weekend,태연 (TAEYEON),Weekend,33655994,2021.07.06,댄스,1221,73942
2021-07-19-10,7,헤픈 우연,헤이즈 (Heize),HAPPEN,33503722,2021.05.20,R&B/Soul,757,128494
2021-07-19-10,8,치맛바람 (Chi Mat Ba Ram),브레이브걸스,Summer Queen,33589260,2021.06.17,댄스,2165,82732
2021-07-19-10,9,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice,33359317,2021.03.19,POP,945,180058
2021-07-19-10,10,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,33464805,2021.05.10,댄스,2906,129189
2021-07-19-10,11,나를 아는 사람,MSG워너비(정상동기),MSG워너비 1집,33625989,2021.06.26,발라드,769,62460
2021-07-19-10,12,롤린 (Rollin'),브레이브걸스,Rollin',30287019,2017.03.07,댄스,7696,282814
2021-07-19-10,13,Alcohol-Free,TWICE (트와이스),Taste of Love,33559180,2021.06.09,댄스,2171,62404
2021-07-19-10,14,Dynamite,방탄소년단,Dynamite (DayTime Version),32872978,2020.08.24,댄스,20977,417664
2021-07-19-10,15,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1,33589488,2021.06.18,록/메탈_ 국내드라마,370,57521
